iter	Passed	Remaining
0	1	111
1	2	123
2	3	116
3	4	108
4	5	107
5	6	103
6	7	101
7	8	100
8	9	99
9	10	98
10	12	97
11	13	96
12	14	94
13	15	92
14	16	91
15	17	91
16	18	88
17	19	87
18	20	86
19	20	83
20	21	82
21	23	81
22	24	80
23	25	79
24	25	77
25	26	75
26	27	73
27	28	72
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	64
34	34	63
35	35	62
36	35	61
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	40	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	87	0
