iter	Passed	Remaining
0	0	795
1	1	690
2	2	670
3	2	648
4	3	725
5	4	790
6	6	927
7	7	888
8	7	871
9	8	843
10	9	845
11	10	827
12	10	820
13	11	815
14	12	807
15	13	815
16	14	812
17	14	809
18	15	819
19	16	822
20	17	816
21	18	817
22	19	831
23	20	814
24	20	803
25	21	802
26	21	791
27	22	777
28	22	766
29	23	754
30	23	742
31	24	731
32	24	722
33	25	713
34	25	705
35	26	699
36	26	691
37	27	688
38	27	682
39	28	675
40	28	673
41	29	674
42	30	671
43	30	669
44	31	666
45	32	665
46	32	666
47	34	674
48	35	682
49	36	689
50	36	688
51	37	687
52	38	687
53	39	687
54	39	686
55	40	682
56	40	677
57	41	672
58	41	667
59	42	662
60	42	657
61	43	652
62	43	648
63	44	645
64	44	640
65	45	637
66	45	633
67	45	629
68	46	628
69	47	624
70	47	621
71	47	618
72	48	617
73	49	617
74	50	617
75	50	616
76	51	614
77	51	611
78	52	608
79	52	605
80	53	602
81	53	599
82	53	593
83	54	590
84	54	587
85	55	584
86	55	582
87	55	579
88	56	578
89	56	575
90	57	572
91	57	570
92	58	567
93	58	565
94	59	562
95	59	560
96	59	557
97	60	555
98	60	553
99	61	551
100	61	549
101	62	547
102	62	545
103	63	543
104	63	542
105	64	546
106	65	546
107	65	544
108	66	543
109	66	541
110	67	540
111	67	538
112	68	537
113	69	538
114	69	536
115	70	534
116	70	532
117	71	530
118	71	529
119	71	527
120	72	525
121	72	523
122	73	522
123	73	520
124	74	520
125	76	531
126	76	529
127	77	527
128	78	527
129	78	525
130	79	524
131	79	523
132	80	523
133	81	524
134	81	524
135	82	523
136	84	532
137	86	541
138	87	540
139	87	539
140	88	537
141	88	535
142	89	533
143	89	532
144	90	531
145	90	530
146	91	529
147	91	528
148	92	526
149	92	526
150	93	525
151	93	524
152	94	523
153	95	523
154	96	528
155	97	528
156	98	528
157	98	527
158	99	526
159	100	526
160	100	524
161	101	523
162	101	523
163	102	523
164	103	522
165	104	522
166	104	522
167	105	521
168	105	521
169	106	520
170	107	521
171	107	519
172	108	518
173	109	518
174	109	516
175	110	515
176	110	515
177	111	515
178	112	514
179	112	513
180	113	512
181	113	511
182	114	509
183	114	509
184	115	508
185	115	506
186	116	505
187	116	504
188	117	503
189	117	502
190	118	501
191	118	500
192	119	498
193	119	497
194	120	496
195	120	495
196	121	494
197	121	492
198	122	491
199	122	490
200	123	488
201	123	487
202	123	486
203	124	485
204	124	483
205	125	483
206	126	484
207	127	484
208	127	483
209	128	482
210	128	481
211	129	480
212	129	479
213	130	478
214	130	477
215	131	476
216	131	475
217	132	474
218	132	473
219	133	472
220	133	471
221	134	470
222	134	469
223	135	469
224	135	468
225	136	467
226	136	466
227	137	465
228	137	464
229	138	463
230	138	462
231	139	461
232	139	460
233	140	459
234	140	458
235	141	458
236	142	458
237	142	457
238	143	456
239	143	455
240	144	454
241	144	453
242	145	452
243	145	451
244	146	450
245	146	449
246	147	448
247	147	447
248	148	447
249	148	446
250	149	445
251	149	444
252	150	443
253	150	441
254	150	440
255	151	439
256	151	438
257	152	438
258	152	437
259	153	436
260	153	435
261	154	434
262	154	433
263	155	432
264	155	431
265	156	430
266	156	430
267	157	430
268	158	430
269	158	429
270	159	429
271	160	428
272	160	428
273	161	427
274	161	426
275	162	425
276	162	425
277	163	424
278	163	423
279	164	423
280	165	422
281	165	421
282	166	421
283	166	420
284	167	419
285	167	418
286	168	417
287	168	417
288	169	416
289	169	415
290	170	415
291	171	414
292	172	415
293	173	415
294	173	414
295	174	414
296	175	416
297	176	416
298	177	415
299	178	416
300	179	416
301	179	415
302	180	414
303	180	414
304	181	414
305	182	413
306	183	413
307	183	412
308	184	412
309	185	411
310	185	411
311	186	410
312	187	410
313	188	411
314	189	411
315	189	410
316	190	410
317	191	409
318	191	409
319	192	408
320	192	407
321	193	407
322	194	406
323	194	406
324	195	405
325	196	405
326	196	404
327	197	403
328	197	403
329	198	402
330	198	402
331	199	401
332	199	400
333	200	399
334	200	398
335	201	398
336	202	398
337	203	398
338	204	398
339	204	397
340	205	396
341	205	396
342	206	395
343	207	395
344	207	394
345	208	394
346	209	394
347	209	393
348	210	392
349	210	391
350	211	390
351	211	390
352	212	389
353	213	388
354	213	387
355	213	386
356	214	386
357	214	385
358	215	384
359	215	383
360	216	383
361	217	382
362	218	382
363	218	382
364	219	381
365	219	380
366	220	379
367	220	378
368	221	378
369	221	377
370	222	376
371	222	376
372	223	375
373	224	375
374	224	374
375	225	373
376	225	372
377	226	372
378	226	371
379	227	370
380	227	370
381	228	369
382	228	368
383	229	368
384	230	367
385	230	367
386	231	366
387	231	365
388	232	365
389	233	365
390	234	364
391	234	364
392	235	363
393	236	363
394	236	362
395	237	361
396	237	360
397	238	360
398	239	360
399	239	359
400	240	359
401	241	359
402	242	358
403	242	358
404	243	357
405	244	357
406	244	356
407	245	355
408	245	355
409	246	354
410	247	354
411	248	354
412	248	353
413	249	353
414	250	352
415	250	352
416	251	351
417	251	350
418	252	349
419	252	349
420	253	348
421	254	347
422	254	347
423	255	346
424	255	345
425	256	345
426	256	344
427	257	343
428	257	343
429	258	342
430	259	341
431	259	341
432	260	341
433	261	340
434	261	340
435	263	340
436	264	340
437	264	339
438	265	339
439	266	339
440	267	338
441	267	338
442	268	337
443	269	337
444	270	336
445	270	336
446	271	335
447	272	335
448	273	335
449	273	334
450	274	333
451	274	333
452	275	332
453	275	331
454	276	331
455	277	330
456	277	330
457	278	329
458	278	328
459	279	328
460	280	327
461	281	327
462	282	327
463	283	327
464	283	326
465	284	326
466	285	325
467	285	324
468	286	324
469	286	323
470	287	322
471	287	322
472	288	321
473	288	320
474	289	319
475	289	319
476	290	318
477	290	317
478	291	316
479	292	316
480	293	316
481	293	315
482	294	315
483	295	315
484	296	314
485	296	313
486	297	313
487	298	312
488	298	312
489	299	311
490	300	311
491	300	310
492	301	310
493	302	309
494	302	308
495	303	307
496	303	307
497	304	306
498	304	306
499	305	305
500	306	304
501	306	304
502	307	304
503	308	303
504	309	303
505	309	302
506	310	301
507	310	301
508	311	300
509	312	299
510	312	299
511	313	298
512	314	298
513	314	297
514	315	297
515	316	296
516	316	295
517	317	295
518	318	294
519	319	294
520	319	293
521	320	293
522	320	292
523	321	291
524	322	291
525	323	291
526	324	290
527	324	290
528	325	289
529	326	289
530	326	288
531	327	287
532	328	287
533	328	286
534	329	286
535	329	285
536	330	285
537	331	284
538	331	283
539	332	283
540	333	282
541	333	282
542	334	281
543	335	281
544	336	280
545	336	280
546	338	280
547	339	279
548	340	279
549	340	278
550	341	278
551	342	277
552	342	277
553	343	276
554	343	275
555	344	275
556	344	274
557	345	273
558	346	273
559	346	272
560	347	271
561	348	271
562	348	270
563	349	269
564	349	269
565	350	268
566	350	267
567	351	267
568	352	266
569	353	266
570	353	265
571	354	265
572	355	264
573	356	264
574	357	263
575	357	263
576	358	262
577	359	262
578	359	261
579	360	260
580	361	260
581	361	259
582	362	259
583	362	258
584	363	257
585	364	257
586	364	256
587	365	256
588	366	255
589	366	254
590	367	254
591	368	254
592	369	253
593	370	252
594	371	252
595	372	252
596	372	251
597	373	251
598	374	250
599	374	249
600	375	249
601	375	248
602	376	247
603	377	247
604	377	246
605	378	246
606	378	245
607	379	244
608	379	243
609	380	243
610	381	242
611	381	241
612	382	241
613	383	241
614	384	240
615	385	240
616	386	239
617	386	239
618	387	238
619	387	237
620	388	237
621	389	236
622	389	235
623	390	235
624	390	234
625	391	233
626	391	232
627	392	232
628	392	231
629	393	230
630	393	230
631	394	229
632	394	228
633	395	228
634	395	227
635	396	226
636	396	226
637	397	225
638	398	225
639	399	224
640	400	224
641	401	223
642	402	223
643	403	222
644	403	222
645	404	221
646	405	221
647	405	220
648	406	219
649	407	219
650	408	218
651	408	218
652	409	217
653	410	217
654	411	216
655	411	215
656	412	215
657	413	215
658	414	214
659	415	213
660	416	213
661	416	212
662	417	212
663	418	211
664	419	211
665	419	210
666	420	210
667	421	209
668	421	208
669	422	208
670	423	207
671	423	206
672	424	206
673	424	205
674	425	204
675	425	204
676	426	203
677	427	203
678	428	202
679	429	202
680	430	201
681	431	201
682	432	200
683	432	199
684	433	199
685	434	198
686	434	198
687	435	197
688	436	196
689	436	196
690	437	195
691	437	194
692	438	194
693	439	193
694	440	193
695	441	192
696	441	192
697	443	191
698	443	191
699	444	190
700	445	189
701	446	189
702	447	189
703	448	188
704	449	187
705	449	187
706	450	186
707	451	186
708	452	185
709	453	185
710	453	184
711	454	183
712	455	183
713	455	182
714	456	181
715	456	181
716	457	180
717	458	180
718	459	179
719	459	178
720	460	178
721	461	177
722	462	177
723	462	176
724	463	175
725	464	175
726	465	174
727	465	174
728	466	173
729	466	172
730	467	172
731	468	171
732	469	171
733	470	170
734	470	169
735	471	169
736	472	168
737	473	168
738	474	167
739	474	166
740	475	166
741	476	165
742	477	165
743	478	164
744	479	163
745	479	163
746	480	162
747	481	162
748	482	161
749	482	160
750	483	160
751	484	159
752	484	159
753	485	158
754	486	157
755	487	157
756	487	156
757	488	156
758	489	155
759	490	154
760	490	154
761	491	153
762	492	152
763	493	152
764	493	151
765	494	151
766	495	150
767	495	149
768	496	149
769	497	148
770	497	147
771	498	147
772	499	146
773	500	146
774	501	145
775	501	144
776	502	144
777	503	143
778	504	143
779	505	142
780	506	141
781	506	141
782	507	140
783	508	140
784	509	139
785	510	138
786	510	138
787	511	137
788	511	136
789	512	136
790	513	135
791	514	135
792	515	134
793	515	133
794	516	133
795	517	132
796	518	131
797	519	131
798	519	130
799	520	130
800	521	129
801	522	128
802	523	128
803	523	127
804	524	127
805	525	126
806	526	125
807	527	125
808	527	124
809	528	123
810	529	123
811	529	122
812	530	122
813	531	121
814	532	120
815	533	120
816	534	119
817	534	119
818	535	118
819	536	117
820	537	117
821	538	116
822	538	115
823	539	115
824	540	114
825	541	113
826	541	113
827	542	112
828	543	112
829	547	112
830	548	111
831	549	110
832	550	110
833	551	109
834	551	109
835	552	108
836	553	107
837	554	107
838	554	106
839	555	105
840	556	105
841	556	104
842	557	103
843	558	103
844	558	102
845	559	101
846	560	101
847	560	100
848	561	99
849	562	99
850	562	98
851	563	97
852	564	97
853	565	96
854	566	96
855	567	95
856	568	94
857	569	94
858	570	93
859	570	92
860	571	92
861	572	91
862	572	90
863	573	90
864	574	89
865	575	88
866	575	88
867	576	87
868	577	87
869	578	86
870	579	85
871	579	85
872	580	84
873	581	83
874	582	83
875	582	82
876	583	81
877	584	81
878	584	80
879	585	79
880	586	79
881	586	78
882	587	77
883	588	77
884	589	76
885	589	75
886	590	75
887	591	74
888	591	73
889	592	73
890	593	72
891	594	71
892	595	71
893	596	70
894	597	70
895	597	69
896	598	68
897	599	68
898	600	67
899	600	66
900	601	66
901	602	65
902	603	64
